OBJECTID;NOM_ARRET;LIGNE;DIRECTION;NUMERIQUE_ARRET;LETTRE_DE_QUAI;SLOID;ORIENTATION_COMPASS;E;N
116;Genève, Délices;07,09;07,09 (07 (Vernier, Lignon-Tours),09 (Vernier, Lignon-Tours));DELC00;G;ch:1:sloid:92816:0:214289;251;2499153.18;1117944.73
117;Genève, Miléant;07,09;07,09 (07 (Vernier, Lignon-Tours),09 (Vernier, Lignon-Tours));MILE00;A;ch:1:sloid:92858:0:844950;258;2498811.18;1117873.82
118;Genève, Contrat-Social;07,09;07,09 (07 (Genève, Bout-du-Monde),09 (Thônex, Belle-Terre Pl. Araire));SOCI01;N;ch:1:sloid:92811:0:784692;164;2498439.17;1118033.82
119;Genève, Camille-Martin;07,09;07,09 (07 (Vernier, Lignon-Tours),09 (Vernier, Lignon-Tours));CMAR00;P;ch:1:sloid:92797:0:243120;251;2498043.87;1118063.22
120;Genève, Jean-Jacques;07,09;07,09 (07 (Vernier, Lignon-Tours),09 (Vernier, Lignon-Tours));JJAC00;K;ch:1:sloid:92844:0:617533;258;2498617.74;1117839.68
121;Genève, Concorde;07,09;07,09 (07 (Genève, Bout-du-Monde),09 (Thônex, Belle-Terre Pl. Araire));CORD01;Z;ch:1:sloid:95018:0:288408;64;2497771.35;1117955.02
122;Genève, Contrat-Social;07,09;07,09 (07 (Vernier, Lignon-Tours),09 (Vernier, Lignon-Tours));SOCI00;M;ch:1:sloid:92811:0:338724;292;2498399.92;1118111.34
123;Genève, Concorde;07,09;07,09 (07 (Vernier, Lignon-Tours),09 (Vernier, Lignon-Tours));CORD00;O;ch:1:sloid:95018:0:440051;247;2497795.64;1117982.66
124;Genève, Camille-Martin;07,09;07,09 (07 (Genève, Bout-du-Monde),09 (Thônex, Belle-Terre Pl. Araire));CMAR01;Q;ch:1:sloid:92797:0:902097;70;2498110.93;1118068.93
125;Vernier, Lignon-Tours;07,09;07,09 (07 (Vernier, Lignon-Tours),09 (Thônex, Belle-Terre Pl. Araire));TLIG00;X;ch:1:sloid:93173:0:613495;286;2496141.42;1117499.24
126;Genève, Hôpital;07,A6;07,A6 (07 (Vernier, Lignon-Tours),A6 (Grand-Saconnex, Fret));HOPI00;J;ch:1:sloid:92837:0:995730;316;2500432.66;1116772.22
127;Vernier, Lignon-Tours;07,C7;07,C7 (07 (Genève, Bout-du-Monde),C7 (Vernier, Lignon Tours/Genève, Nations));TLIG02;Z;ch:1:sloid:93173:0:416485;85;2496168.01;1117472.69
128;Genève, Rive;07,G_pl,E_pl,29;07,G_pl,E_pl,29 (07 (Vernier, Lignon-Tours),G_pl (Genève, gare Cornavin),E_pl (Genève, gare Cornavin),29 (Creux-de-Genthod, gare));RIVE02;D;ch:1:sloid:87061:0:111210;285;2500724.94;1117533.52
129;Genève, Vidollet;08;08 (08 (Veyrier, douane));VIDO02;W;ch:1:sloid:92921:0:584194;212;2499467.74;1119236.89
130;Genève, Florissant;08;08 (08 (Veyrier, douane));FLRI01;T;ch:1:sloid:92824:0:990180;118;2500839.29;1116945.49
131;Genève, Contamines;08;08 (08 (Veyrier, douane));CTMI01;R;ch:1:sloid:92810:0:821732;122;2501013.81;1116843.77
132;Genève, Canonnière;08;08 (08 (Veyrier, douane));CANO00;H;ch:1:sloid:92798:0:247962;118;2499338.65;1118979
133;Genève, Rive;08;08 (08 (Grand-Saconnex, Palexpo));RIVE10;E;ch:1:sloid:87061:0:763661;16;2500695.02;1117505.23
134;Grand-Saconnex, Palexpo;08;08 (08 (Veyrier, douane));PXPO11;T;ch:1:sloid:92950:0:116292;136;2498138.66;1121085.19
135;Veyrier, village;08;08 (08 (Grand-Saconnex, Palexpo));VRVI01;F;ch:1:sloid:93212:0:354606;319;2503139.42;1113781.96
136;Genève, gare Cornavin;08;08 (08 (Veyrier, douane));CVIN02;C;ch:1:sloid:87057:0:973093;219;2500030.67;1118494.81
137;Veyrier, douane;08;08 (08 (Grand-Saconnex, Palexpo));VRDO00;Z;ch:1:sloid:87905:0:511932;270;2503305.24;1113639.14
138;Genève, Rive;08;08 (08 (Veyrier, douane));RIVE09;F;ch:1:sloid:87061:0:361538;202;2500678.88;1117502.39
139;Genève, Canonnière;08;08 (08 (Grand-Saconnex, Palexpo));CANO01;I;ch:1:sloid:92798:0:971487;300;2499331.63;1119006.75
140;Veyrier, village;08;08 (08 (Veyrier, douane));VRVI00;E;ch:1:sloid:93212:0:647905;122;2503175.13;1113727.01
141;Genève, Grottes;08;08 (08 (Grand-Saconnex, Palexpo));GROT01;W;ch:1:sloid:92834:0:534940;320;2499592.02;1118779.91
142;Genève, Vidollet;08;08 (08 (Grand-Saconnex, Palexpo));VIDO03;X;ch:1:sloid:92921:0:334305;302;2499452.4;1119302.03
